Time	CellId	RNTI	BWPId	StreamId	SINR(dB)
6.34507	2	1	0	0	-25.9777
6.35007	2	1	0	0	-25.9777
6.35507	2	1	0	0	-25.9777
6.36007	2	1	0	0	-25.9777
6.36507	2	1	0	0	-25.9777
6.37007	2	1	0	0	-25.9777
6.37507	2	1	0	0	-25.9777
6.38007	2	1	0	0	-25.9777
6.38507	2	1	0	0	-25.9777
6.39007	2	1	0	0	-25.9777
6.39507	2	1	0	0	-25.9777
6.40007	2	1	0	0	-25.9777
6.40507	2	1	0	0	-25.9777
6.41007	2	1	0	0	-25.9777
6.41507	2	1	0	0	-25.9777
6.42007	2	1	0	0	-25.9777
6.42507	2	1	0	0	-25.9777
6.43007	2	1	0	0	-25.9777
6.43507	2	1	0	0	-25.9777
6.44007	2	1	0	0	-25.9777
6.44507	2	1	0	0	-25.9777
6.45007	2	1	0	0	-25.9777
6.45507	2	1	0	0	-25.9777
6.46007	2	1	0	0	-25.9777
6.46507	2	1	0	0	-25.9777
6.47007	2	1	0	0	-25.9777
6.47507	2	1	0	0	-25.9777
6.48007	2	1	0	0	-25.9777
6.48507	2	1	0	0	-25.9777
6.49007	2	1	0	0	-25.9777
6.49507	2	1	0	0	-25.9777
6.50007	2	1	0	0	-25.9777
6.50507	2	1	0	0	-25.9777
6.51007	2	1	0	0	-25.9777
6.51507	2	1	0	0	-25.9777
6.52007	2	1	0	0	-25.9777
6.52507	2	1	0	0	-25.9777
6.53007	2	1	0	0	-25.9777
6.53507	2	1	0	0	-25.9777
6.54007	2	1	0	0	-25.9777
6.54507	2	1	0	0	-25.9777
6.55007	2	1	0	0	-25.9777
6.55507	2	1	0	0	-25.9777
6.56007	2	1	0	0	-25.9777
6.56507	2	1	0	0	-25.9777
6.57007	2	1	0	0	-25.9777
6.57507	2	1	0	0	-25.9777
6.58007	2	1	0	0	-25.9777
6.58507	2	1	0	0	-25.9777
6.59007	2	1	0	0	-25.9777
6.59507	2	1	0	0	-25.9777
6.60007	2	1	0	0	-25.9777
6.60507	2	1	0	0	-25.9777
6.61007	2	1	0	0	-25.9777
6.61507	2	1	0	0	-25.9777
6.62007	2	1	0	0	-25.9777
6.62507	2	1	0	0	-25.9777
6.63007	2	1	0	0	-25.9777
6.63507	2	1	0	0	-25.9777
6.64007	2	1	0	0	-25.9777
6.64507	2	1	0	0	-25.9777
6.65007	2	1	0	0	-25.9777
6.65507	2	1	0	0	-25.9777
6.66007	2	1	0	0	-25.9777
6.66507	2	1	0	0	-25.9777
6.67007	2	1	0	0	-25.9777
6.67507	2	1	0	0	-25.9777
6.68007	2	1	0	0	-25.9777
6.68507	2	1	0	0	-25.9777
6.69007	2	1	0	0	-25.9777
6.69507	2	1	0	0	-25.9777
6.70007	2	1	0	0	-25.9777
6.70507	2	1	0	0	-25.9777
6.71007	2	1	0	0	-25.9777
6.71507	2	1	0	0	-25.9777
6.72007	2	1	0	0	-25.9777
6.72507	2	1	0	0	-25.9777
6.73007	2	1	0	0	-25.9777
6.73507	2	1	0	0	-25.9777
6.74007	2	1	0	0	-25.9777
6.74507	2	1	0	0	-25.9777
6.75007	2	1	0	0	-25.9777
6.75507	2	1	0	0	-25.9777
6.76007	2	1	0	0	-25.9777
6.76507	2	1	0	0	-25.9777
6.77007	2	1	0	0	-25.9777
6.77507	2	1	0	0	-25.9777
6.78007	2	1	0	0	-25.9777
6.78507	2	1	0	0	-25.9777
6.79007	2	1	0	0	-25.9777
6.79507	2	1	0	0	-25.9777
6.80007	2	1	0	0	-25.9777
6.80507	2	1	0	0	-25.9777
6.81007	2	1	0	0	-25.9777
6.81507	2	1	0	0	-25.9777
6.82007	2	1	0	0	-25.9777
6.82507	2	1	0	0	-25.9777
6.83007	2	1	0	0	-25.9777
6.83507	2	1	0	0	-25.9777
6.84007	2	1	0	0	-25.9777
6.84507	2	1	0	0	-25.9777
6.85007	2	1	0	0	-25.9777
6.85507	2	1	0	0	-25.9777
6.86007	2	1	0	0	-25.9777
6.86507	2	1	0	0	-25.9777
6.87007	2	1	0	0	-25.9777
6.87507	2	1	0	0	-25.9777
6.88007	2	1	0	0	-25.9777
6.88507	2	1	0	0	-25.9777
6.89007	2	1	0	0	-25.9777
6.89507	2	1	0	0	-25.9777
6.90007	2	1	0	0	-25.9777
6.90507	2	1	0	0	-25.9777
6.91007	2	1	0	0	-25.9777
6.91507	2	1	0	0	-25.9777
6.92007	2	1	0	0	-25.9777
6.92507	2	1	0	0	-25.9777
6.93007	2	1	0	0	-25.9777
6.93507	2	1	0	0	-25.9777
6.94007	2	1	0	0	-25.9777
6.94507	2	1	0	0	-25.9777
6.95007	2	1	0	0	-25.9777
6.95507	2	1	0	0	-25.9777
6.96007	2	1	0	0	-25.9777
6.96507	2	1	0	0	-25.9777
6.97007	2	1	0	0	-25.9777
6.97507	2	1	0	0	-25.9777
6.98007	2	1	0	0	-25.9777
6.98507	2	1	0	0	-25.9777
6.99007	2	1	0	0	-25.9777
6.99507	2	1	0	0	-25.9777
7.00007	2	1	0	0	-25.9777
7.00507	2	1	0	0	-25.9777
7.01007	2	1	0	0	-25.9777
7.01507	2	1	0	0	-25.9777
7.02007	2	1	0	0	-25.9777
7.02507	2	1	0	0	-25.9777
7.03007	2	1	0	0	-25.9777
7.03507	2	1	0	0	-25.9777
7.04007	2	1	0	0	-25.9777
7.04507	2	1	0	0	-25.9777
7.05007	2	1	0	0	-25.9777
7.05507	2	1	0	0	-25.9777
7.06007	2	1	0	0	-25.9777
7.06507	2	1	0	0	-25.9777
7.07007	2	1	0	0	-25.9777
7.07507	2	1	0	0	-25.9777
7.08007	2	1	0	0	-25.9777
7.08507	2	1	0	0	-25.9777
7.09007	2	1	0	0	-25.9777
7.09507	2	1	0	0	-25.9777
7.10007	2	1	0	0	-25.9777
7.10507	2	1	0	0	-25.9777
7.11007	2	1	0	0	-25.9777
7.11507	2	1	0	0	-25.9777
7.12007	2	1	0	0	-25.9777
7.12507	2	1	0	0	-25.9777
7.13007	2	1	0	0	-25.9777
7.13507	2	1	0	0	-25.9777
7.14007	2	1	0	0	-25.9777
7.14507	2	1	0	0	-25.9777
7.15007	2	1	0	0	-25.9777
7.15507	2	1	0	0	-25.9777
7.16007	2	1	0	0	-25.9777
7.16507	2	1	0	0	-25.9777
7.17007	2	1	0	0	-25.9777
7.17507	2	1	0	0	-25.9777
7.18007	2	1	0	0	-25.9777
7.18507	2	1	0	0	-25.9777
7.19007	2	1	0	0	-25.9777
7.19507	2	1	0	0	-25.9777
7.20007	2	1	0	0	-25.9777
7.20507	2	1	0	0	-25.9777
7.21007	2	1	0	0	-25.9777
7.21507	2	1	0	0	-25.9777
7.22007	2	1	0	0	-25.9777
7.22507	2	1	0	0	-25.9777
7.23007	2	1	0	0	-25.9777
7.23507	2	1	0	0	-25.9777
7.24007	2	1	0	0	-25.9777
7.24507	2	1	0	0	-25.9777
7.25007	2	1	0	0	-25.9777
7.25507	2	1	0	0	-25.9777
7.26007	2	1	0	0	-25.9777
7.26507	2	1	0	0	-25.9777
7.27007	2	1	0	0	-25.9777
7.27507	2	1	0	0	-25.9777
7.28007	2	1	0	0	-25.9777
7.28507	2	1	0	0	-25.9777
7.29007	2	1	0	0	-25.9777
7.29507	2	1	0	0	-25.9777
7.30007	2	1	0	0	-25.9777
7.30507	2	1	0	0	-25.9777
7.31007	2	1	0	0	-25.9777
7.31507	2	1	0	0	-25.9777
7.32007	2	1	0	0	-25.9777
7.32507	2	1	0	0	-25.9777
7.33007	2	1	0	0	-25.9777
7.33507	2	1	0	0	-25.9777
7.34007	2	1	0	0	-25.9777
7.34507	2	1	0	0	-25.9777
7.35007	2	1	0	0	-25.9777
7.35507	2	1	0	0	-25.9777
7.36007	2	1	0	0	-25.9777
7.36507	2	1	0	0	-25.9777
7.37007	2	1	0	0	-25.9777
7.37507	2	1	0	0	-25.9777
7.38007	2	1	0	0	-25.9777
7.38507	2	1	0	0	-25.9777
7.39007	2	1	0	0	-25.9777
7.39507	2	1	0	0	-25.9777
7.40007	2	1	0	0	-25.9777
7.40507	2	1	0	0	-25.9777
7.41007	2	1	0	0	-25.9777
7.41507	2	1	0	0	-25.9777
7.42007	2	1	0	0	-25.9777
7.42507	2	1	0	0	-25.9777
7.43007	2	1	0	0	-25.9777
7.43507	2	1	0	0	-25.9777
7.44007	2	1	0	0	-25.9777
7.44507	2	1	0	0	-25.9777
7.45007	2	1	0	0	-25.9777
7.45507	2	1	0	0	-25.9777
7.46007	2	1	0	0	-25.9777
7.46507	2	1	0	0	-25.9777
7.47007	2	1	0	0	-25.9777
7.47507	2	1	0	0	-25.9777
7.48007	2	1	0	0	-25.9777
7.48507	2	1	0	0	-25.9777
7.49007	2	1	0	0	-25.9777
7.49507	2	1	0	0	-25.9777
7.50007	2	1	0	0	-25.9777
7.50507	2	1	0	0	-25.9777
7.51007	2	1	0	0	-25.9777
7.51507	2	1	0	0	-25.9777
7.52007	2	1	0	0	-25.9777
7.52507	2	1	0	0	-25.9777
7.53007	2	1	0	0	-25.9777
7.53507	2	1	0	0	-25.9777
7.54007	2	1	0	0	-25.9777
7.54507	2	1	0	0	-25.9777
7.55007	2	1	0	0	-25.9777
7.55507	2	1	0	0	-25.9777
7.56007	2	1	0	0	-25.9777
7.56507	2	1	0	0	-25.9777
7.57007	2	1	0	0	-25.9777
7.57507	2	1	0	0	-25.9777
7.58007	2	1	0	0	-25.9777
7.58507	2	1	0	0	-25.9777
7.59007	2	1	0	0	-25.9777
7.59507	2	1	0	0	-25.9777
7.60007	2	1	0	0	-25.9777
7.60507	2	1	0	0	-25.9777
7.61007	2	1	0	0	-25.9777
7.61507	2	1	0	0	-25.9777
7.62007	2	1	0	0	-25.9777
7.62507	2	1	0	0	-25.9777
7.63007	2	1	0	0	-25.9777
7.63507	2	1	0	0	-25.9777
7.64007	2	1	0	0	-25.9777
7.64507	2	1	0	0	-25.9777
7.65007	2	1	0	0	-25.9777
7.65507	2	1	0	0	-25.9777
7.66007	2	1	0	0	-25.9777
7.66507	2	1	0	0	-25.9777
7.67007	2	1	0	0	-25.9777
7.67507	2	1	0	0	-25.9777
7.68007	2	1	0	0	-25.9777
7.68507	2	1	0	0	-25.9777
7.69007	2	1	0	0	-25.9777
7.69507	2	1	0	0	-25.9777
7.70007	2	1	0	0	-25.9777
7.70507	2	1	0	0	-25.9777
7.71007	2	1	0	0	-25.9777
7.71507	2	1	0	0	-25.9777
7.72007	2	1	0	0	-25.9777
7.72507	2	1	0	0	-25.9777
7.73007	2	1	0	0	-25.9777
7.73507	2	1	0	0	-25.9777
7.74007	2	1	0	0	-25.9777
7.74507	2	1	0	0	-25.9777
7.75007	2	1	0	0	-25.9777
7.75507	2	1	0	0	-25.9777
7.76007	2	1	0	0	-25.9777
7.76507	2	1	0	0	-25.9777
7.77007	2	1	0	0	-25.9777
7.77507	2	1	0	0	-25.9777
7.78007	2	1	0	0	-25.9777
7.78507	2	1	0	0	-25.9777
7.79007	2	1	0	0	-25.9777
7.79507	2	1	0	0	-25.9777
7.80007	2	1	0	0	-25.9777
7.80507	2	1	0	0	-25.9777
7.81007	2	1	0	0	-25.9777
7.81507	2	1	0	0	-25.9777
7.82007	2	1	0	0	-25.9777
7.82507	2	1	0	0	-25.9777
7.83007	2	1	0	0	-25.9777
7.83507	2	1	0	0	-25.9777
7.84007	2	1	0	0	-25.9777
7.84507	2	1	0	0	-25.9777
7.85007	2	1	0	0	-25.9777
7.85507	2	1	0	0	-25.9777
7.86007	2	1	0	0	-25.9777
7.86507	2	1	0	0	-25.9777
7.87007	2	1	0	0	-25.9777
7.87507	2	1	0	0	-25.9777
7.88007	2	1	0	0	-25.9777
7.88507	2	1	0	0	-25.9777
7.89007	2	1	0	0	-25.9777
7.89507	2	1	0	0	-25.9777
7.90007	2	1	0	0	-25.9777
7.90507	2	1	0	0	-25.9777
7.91007	2	1	0	0	-25.9777
7.91507	2	1	0	0	-25.9777
7.92007	2	1	0	0	-25.9777
7.92507	2	1	0	0	-25.9777
7.93007	2	1	0	0	-25.9777
7.93507	2	1	0	0	-25.9777
7.94007	2	1	0	0	-25.9777
7.94507	2	1	0	0	-25.9777
7.95007	2	1	0	0	-25.9777
7.95507	2	1	0	0	-25.9777
7.96007	2	1	0	0	-25.9777
7.96507	2	1	0	0	-25.9777
7.97007	2	1	0	0	-25.9777
7.97507	2	1	0	0	-25.9777
7.98007	2	1	0	0	-25.9777
7.98507	2	1	0	0	-25.9777
7.99007	2	1	0	0	-25.9777
7.99507	2	1	0	0	-25.9777
8.00007	2	1	0	0	-25.9777
8.00507	2	1	0	0	-25.9777
8.01007	2	1	0	0	-25.9777
8.01507	2	1	0	0	-25.9777
8.02007	2	1	0	0	-25.9777
8.02507	2	1	0	0	-25.9777
8.03007	2	1	0	0	-25.9777
8.03507	2	1	0	0	-25.9777
8.04007	2	1	0	0	-25.9777
8.04507	2	1	0	0	-25.9777
8.05007	2	1	0	0	-25.9777
8.05507	2	1	0	0	-25.9777
8.06007	2	1	0	0	-25.9777
8.06507	2	1	0	0	-25.9777
8.07007	2	1	0	0	-25.9777
8.07507	2	1	0	0	-25.9777
8.08007	2	1	0	0	-25.9777
8.08507	2	1	0	0	-25.9777
8.09007	2	1	0	0	-25.9777
8.09507	2	1	0	0	-25.9777
8.10007	2	1	0	0	-25.9777
8.10507	2	1	0	0	-25.9777
8.11007	2	1	0	0	-25.9777
8.11507	2	1	0	0	-25.9777
8.12007	2	1	0	0	-25.9777
8.12507	2	1	0	0	-25.9777
8.13007	2	1	0	0	-25.9777
8.13507	2	1	0	0	-25.9777
8.14007	2	1	0	0	-25.9777
8.14507	2	1	0	0	-25.9777
8.15007	2	1	0	0	-25.9777
8.15507	2	1	0	0	-25.9777
8.16007	2	1	0	0	-25.9777
8.16507	2	1	0	0	-25.9777
8.17007	2	1	0	0	-25.9777
8.17507	2	1	0	0	-25.9777
8.18007	2	1	0	0	-25.9777
8.18507	2	1	0	0	-25.9777
8.19007	2	1	0	0	-25.9777
8.19507	2	1	0	0	-25.9777
8.20007	2	1	0	0	-25.9777
8.20507	2	1	0	0	-25.9777
8.21007	2	1	0	0	-25.9777
8.21507	2	1	0	0	-25.9777
8.22007	2	1	0	0	-25.9777
