Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
16.605	ENB PHY Txed	1660	5	0	2	0	0	SIB1
16.61	ENB PHY Txed	1661	0	0	2	0	0	MIB
16.615	ENB PHY Txed	1661	5	0	2	0	0	SIB1
16.62	ENB PHY Txed	1662	0	0	2	0	0	MIB
16.625	ENB PHY Txed	1662	5	0	2	0	0	SIB1
16.63	ENB PHY Txed	1663	0	0	2	0	0	MIB
16.635	ENB PHY Txed	1663	5	0	2	0	0	SIB1
16.64	ENB PHY Txed	1664	0	0	2	0	0	MIB
16.645	ENB PHY Txed	1664	5	0	2	0	0	SIB1
16.645	ENB PHY Txed	1664	5	0	2	0	0	UL_UCI
16.65	ENB PHY Txed	1665	0	0	2	0	0	MIB
16.655	ENB PHY Txed	1665	5	0	2	0	0	SIB1
16.66	ENB PHY Txed	1666	0	0	2	0	0	MIB
16.665	ENB PHY Txed	1666	5	0	2	0	0	SIB1
16.67	ENB PHY Txed	1667	0	0	2	0	0	MIB
16.675	ENB PHY Txed	1667	5	0	2	0	0	SIB1
16.68	ENB PHY Txed	1668	0	0	2	0	0	MIB
16.685	ENB PHY Txed	1668	5	0	2	0	0	SIB1
16.69	ENB PHY Txed	1669	0	0	2	0	0	MIB
16.695	ENB PHY Txed	1669	5	0	2	0	0	SIB1
16.7	ENB PHY Txed	1670	0	0	2	0	0	MIB
16.705	ENB PHY Txed	1670	5	0	2	0	0	SIB1
16.71	ENB PHY Txed	1671	0	0	2	0	0	MIB
16.715	ENB PHY Txed	1671	5	0	2	0	0	SIB1
16.72	ENB PHY Txed	1672	0	0	2	0	0	MIB
16.725	ENB PHY Txed	1672	5	0	2	0	0	SIB1
16.725	ENB PHY Txed	1672	5	0	2	0	0	UL_UCI
16.73	ENB PHY Txed	1673	0	0	2	0	0	MIB
16.735	ENB PHY Txed	1673	5	0	2	0	0	SIB1
16.74	ENB PHY Txed	1674	0	0	2	0	0	MIB
16.745	ENB PHY Txed	1674	5	0	2	0	0	SIB1
16.75	ENB PHY Txed	1675	0	0	2	0	0	MIB
16.755	ENB PHY Txed	1675	5	0	2	0	0	SIB1
16.76	ENB PHY Txed	1676	0	0	2	0	0	MIB
16.765	ENB PHY Txed	1676	5	0	2	0	0	SIB1
16.77	ENB PHY Txed	1677	0	0	2	0	0	MIB
16.775	ENB PHY Txed	1677	5	0	2	0	0	SIB1
16.78	ENB PHY Txed	1678	0	0	2	0	0	MIB
16.785	ENB PHY Txed	1678	5	0	2	0	0	SIB1
16.79	ENB PHY Txed	1679	0	0	2	0	0	MIB
16.795	ENB PHY Txed	1679	5	0	2	0	0	SIB1
16.8	ENB PHY Txed	1680	0	0	2	0	0	MIB
16.805	ENB PHY Txed	1680	5	0	2	0	0	UL_UCI
16.805	ENB PHY Txed	1680	5	0	2	0	0	SIB1
16.81	ENB PHY Txed	1681	0	0	2	0	0	MIB
16.815	ENB PHY Txed	1681	5	0	2	0	0	SIB1
16.82	ENB PHY Txed	1682	0	0	2	0	0	MIB
16.825	ENB PHY Txed	1682	5	0	2	0	0	SIB1
16.83	ENB PHY Txed	1683	0	0	2	0	0	MIB
16.835	ENB PHY Txed	1683	5	0	2	0	0	SIB1
16.84	ENB PHY Txed	1684	0	0	2	0	0	MIB
16.845	ENB PHY Txed	1684	5	0	2	0	0	SIB1
16.85	ENB PHY Txed	1685	0	0	2	0	0	MIB
