Time(sec)	CellId	BwpId	txStreamId 	IMSI	rxStreamId	pathLoss(dB)
12.7279	1	0	0	1	0	-119.635
12.8079	1	0	0	1	0	-119.635
12.8879	1	0	0	1	0	-119.635
12.9679	1	0	0	1	0	-119.635
13.0479	1	0	0	1	0	-119.635
13.1279	1	0	0	1	0	-119.635
13.2079	1	0	0	1	0	-119.635
13.2879	1	0	0	1	0	-119.635
13.3679	1	0	0	1	0	-119.635
13.4479	1	0	0	1	0	-119.635
13.5279	1	0	0	1	0	-119.635
13.6079	1	0	0	1	0	-119.635
13.6879	1	0	0	1	0	-119.635
13.7679	1	0	0	1	0	-119.635
13.8479	1	0	0	1	0	-119.635
13.9279	1	0	0	1	0	-119.635
14.0079	1	0	0	1	0	-119.635
14.0879	1	0	0	1	0	-119.635
14.1679	1	0	0	1	0	-119.635
14.2479	1	0	0	1	0	-119.635
14.3279	1	0	0	1	0	-119.635
14.4079	1	0	0	1	0	-119.635
14.4879	1	0	0	1	0	-119.635
14.5679	1	0	0	1	0	-119.635
14.6479	1	0	0	1	0	-119.635
14.7279	1	0	0	1	0	-119.635
14.8079	1	0	0	1	0	-119.635
14.8879	1	0	0	1	0	-119.635
14.9679	1	0	0	1	0	-119.635
15.0479	1	0	0	1	0	-119.635
15.1279	1	0	0	1	0	-119.635
15.2079	1	0	0	1	0	-119.635
15.2879	1	0	0	1	0	-119.635
15.3679	1	0	0	1	0	-119.635
15.4479	1	0	0	1	0	-119.635
15.5279	1	0	0	1	0	-119.635
15.6079	1	0	0	1	0	-119.635
15.6879	1	0	0	1	0	-119.635
15.7679	1	0	0	1	0	-119.635
15.8479	1	0	0	1	0	-119.635
15.9279	1	0	0	1	0	-119.635
16.0079	1	0	0	1	0	-119.635
16.0879	1	0	0	1	0	-119.635
16.1679	1	0	0	1	0	-119.635
16.2479	1	0	0	1	0	-119.635
16.3279	1	0	0	1	0	-119.635
16.4079	1	0	0	1	0	-119.635
16.4879	1	0	0	1	0	-119.635
16.5679	1	0	0	1	0	-119.635
16.6479	1	0	0	1	0	-119.635
16.7279	1	0	0	1	0	-119.635
16.8079	1	0	0	1	0	-119.635
16.8879	1	0	0	1	0	-119.635
16.9679	1	0	0	1	0	-119.635
17.0479	1	0	0	1	0	-119.635
17.1279	1	0	0	1	0	-119.635
17.2079	1	0	0	1	0	-119.635
17.2879	1	0	0	1	0	-119.635
17.3679	1	0	0	1	0	-119.635
17.4479	1	0	0	1	0	-119.635
17.5279	1	0	0	1	0	-119.635
17.6079	1	0	0	1	0	-119.635
17.6879	1	0	0	1	0	-119.635
17.7679	1	0	0	1	0	-119.635
17.8479	1	0	0	1	0	-119.635
17.9279	1	0	0	1	0	-119.635
18.0079	1	0	0	1	0	-119.635
18.0879	1	0	0	1	0	-119.635
18.1679	1	0	0	1	0	-119.635
18.2479	1	0	0	1	0	-119.635
18.3279	1	0	0	1	0	-119.635
18.4079	1	0	0	1	0	-119.635
18.4879	1	0	0	1	0	-119.635
18.5679	1	0	0	1	0	-119.635
18.6479	1	0	0	1	0	-119.635
18.7279	1	0	0	1	0	-119.635
18.8079	1	0	0	1	0	-119.635
18.8879	1	0	0	1	0	-119.635
18.9679	1	0	0	1	0	-119.635
19.0479	1	0	0	1	0	-119.635
19.1279	1	0	0	1	0	-119.635
19.2079	1	0	0	1	0	-119.635
19.2879	1	0	0	1	0	-119.635
19.3679	1	0	0	1	0	-119.635
19.4479	1	0	0	1	0	-119.635
19.5279	1	0	0	1	0	-119.635
19.6079	1	0	0	1	0	-119.635
19.6879	1	0	0	1	0	-119.635
19.7679	1	0	0	1	0	-119.635
19.8479	1	0	0	1	0	-119.635
19.9279	1	0	0	1	0	-119.635
